FIGHTER,COUNTRY,TKO_WINS,TKO_LOSSES,SUB_WINS,SUB_LOSSES,PRIMARY_STYLE,WIN_RATE,TOTAL_FIGHTS,TOTAL_WINS,TOTAL_LOSSES,DRAW,RECORD,AGE,FINISHING_RATE
Nora Cornolle,FRANCE,6,0,1,0,Muay Thai,80.0,10,8,2,0,8-2-0,35,70.0
Yair Rodriguez,MEXICO,6,3,4,1,Teakwando,76.0,25,19,5,0,19-5-0,32,40.0
Brandon Moreno,MEXICO,5,0,11,0,Brazilian Jiu-Jitsu,68.75,32,22,8,2,22-8-2,31,50.0
Alexa Grasso,MEXICO,4,0,2,1,Brazilian Jiu-Jitsu,76.19,21,16,4,1,16-4-1,31,28.6
Irene Aldana,MEXICO,8,2,3,0,Striking,65.21,23,15,8,0,15-8-0,37,47.8
Gabriel Benitez,MEXICO,9,4,10,3,Brazilian Jiu-Jitsu,65.71,35,23,13,0,23-13-0,36,54.3
Polo Reyes,MEXICO,6,7,1,2,Brazilian Jiu-Jitsu,76.19,20,16,9,0,16-9-0,40,35.0
Lupita Godinez,MEXICO,1,0,2,0,Brazilian Jiu-Jitsu,70.58,17,12,5,0,12-5-0,31,17.6
Daniel Zelhuber,MEXICO,7,0,3,0,Wrestling,88.23,17,15,2,0,15-2-0,25,58.8
Yazmin Jauregui,MEXICO,7,1,0,1,Freestyle,84.61,13,11,2,0,11-2-0,26,53.8
Victor Altamirano,MEXICO,2,0,4,1,Striking,70.58,17,12,5,0,12-5-0,34,35.3
Montserrat Rendon,MEXICO,0,0,0,0,Jiu-Jitsu,85.71,7,6,1,0,6-1-0,36,0.0
Edgar Chairez,MEXICO,4,0,7,2,Striking,64.7,17,11,6,0,11-6-0,29,64.7
Lone'er Kavanagh,ENGLAND,4,0,1,0,Striking,100.0,9,9,0,0,9-0-0,25,55.6
Paddy Pimblett,ENGLAND,6,0,10,1,Brazilian Jiu-Jitsu,88.46,26,23,3,0,23-3-0,30,61.5
Tom Aspinall,ENGLAND,11,0,4,1,Striking,83.33,18,15,3,0,15-3-0,31,83.3
Arnold Allen,ENGLAND,7,0,4,0,Striking,86.95,23,20,3,0,20-3-0,31,47.8
Nathaniel Wood,ENGLAND,8,2,5,2,Striking,77.77,27,21,6,0,21-6-0,31,48.1
Mick Parkin,ENGLAND,6,0,1,0,Brazilian Jiu-Jitsu,90.9,11,10,1,0,10-1-0,29,63.6
Alexander Volkanovski,AUSTRALIA,13,3,3,0,Brazilian Jiu-Jitsu,87.09,31,27,4,0,27-4-0,36,51.6
Robert Whittaker,AUSTRALIA,11,3,5,2,Brazilian Jiu-Jitsu,79.41,34,27,8,0,27-8-0,34,47.1
Tai Tuivasa,AUSTRALIA,14,3,0,3,Kickboxing,68.18,22,15,8,0,15-8-0,32,63.6
Jack Della Maddalena,AUSTRALIA,12,1,2,1,Brazilian Jiu-Jitsu,89.47,19,17,2,0,17-2-0,28,73.7
Jimmy Crute,AUSTRALIA,5,2,4,2,Brazilian Jiu-Jitsu,66.66,18,12,4,2,12-4-2,29,50.0
Jake Matthews,AUSTRALIA,5,1,8,3,Brazilian Jiu-Jitsu,72.41,29,21,7,0,21-7-0,30,44.8
Jamie Mullarkey,AUSTRALIA,10,6,3,0,Brazilian Jiu-Jitsu,68.0,25,17,8,0,17-8-0,30,52.0
Josh Culibao,AUSTRALIA,5,1,1,0,Brazilian Jiu-Jitsu,68.75,16,11,4,1,11-4-1,30,37.5
Jack Jenkins,AUSTRALIA,6,1,3,3,Freestyle,76.47,17,13,4,0,13-4-0,31,52.9
Casey O'Neill,AUSTRALIA,3,0,2,1,Brazilian Jiu-Jitsu,83.33,12,10,2,0,10-2-0,27,41.7
Tyson Pedro,AUSTRALIA,5,1,5,1,Brazilian Jiu-Jitsu,66.66,15,10,5,0,10-5-0,33,66.7
Justin Tafa,AUSTRALIA,7,2,0,0,Striking,58.33,12,7,5,0,7-5-0,31,58.3
Junior Tafa,AUSTRALIA,6,1,0,1,Kickboxing,66.66,9,6,3,0,6-3-0,28,66.7
